InfoDate,EmployeeID,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,retirementType,resignationReason,Attrition,retirementDate,JobInvolvement,PerformanceRating
2015-12-31,2500,42,7,57140,5.0,11,0,2,0,2,1,2,Travel_Rarely,Research & Development,Master,Other,Female,2,Laboratory Technician,Married,,,No,,3,3
2015-12-31,1030,42,7,57140,5.0,11,0,2,0,2,1,2,Travel_Rarely,Research & Development,Master,Other,Female,2,Laboratory Technician,Married,,,No,,3,3
2015-12-31,2979,18,1,23350,1.0,14,2,3,0,3,3,3,Travel_Rarely,Research & Development,Master,Life Sciences,Male,1,Sales Executive,Single,Resignation,Stress,Sí,2016-02-10,2,3
2015-12-31,1509,18,1,23350,1.0,14,2,3,0,3,3,3,Travel_Rarely,Research & Development,Master,Life Sciences,Male,1,Sales Executive,Single,Resignation,Salary,Sí,2016-01-07,2,3
2015-12-31,39,18,1,23350,1.0,14,2,3,0,3,3,3,Travel_Rarely,Research & Development,Master,Life Sciences,Male,1,Sales Executive,Single,Resignation,Stress,Sí,2016-04-29,2,3
2015-12-31,817,33,15,62010,2.0,15,3,2,0,4,3,3,Travel_Rarely,Research & Development,Master,Life Sciences,Female,1,Sales Executive,Single,,,No,,2,3
2015-12-31,2287,33,15,62010,2.0,15,3,2,0,4,3,3,Travel_Rarely,Research & Development,Master,Life Sciences,Female,1,Sales Executive,Single,,,No,,2,3
2015-12-31,3757,33,15,62010,2.0,15,3,2,0,4,3,3,Travel_Rarely,Research & Development,Master,Life Sciences,Female,1,Sales Executive,Single,,,No,,2,3
2015-12-31,2185,18,1,27200,1.0,22,1,2,0,4,4,4,Non-Travel,Research & Development,Master,Medical,Male,2,Sales Executive,Single,,,No,,3,4
2015-12-31,3655,18,1,27200,1.0,22,1,2,0,4,4,3,Non-Travel,Research & Development,Master,Medical,Male,2,Sales Executive,Single,,,No,,3,4
2015-12-31,715,18,1,27200,1.0,22,1,2,0,4,4,4,Non-Travel,Research & Development,Master,Medical,Male,2,Sales Executive,Single,,,No,,3,4
2015-12-31,2584,56,4,198470,4.0,14,0,6,0,4,1,3,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Female,2,Sales Executive,Married,,,No,,3,3
2015-12-31,4054,56,4,198470,4.0,14,0,6,0,4,1,3,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Female,2,Sales Executive,Married,,,No,,3,3
2015-12-31,1114,56,4,198470,4.0,14,0,6,0,4,1,3,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Female,2,Sales Executive,Married,,,No,,3,3
2015-12-31,2810,19,5,53320,1.0,23,1,2,0,4,3,2,Travel_Rarely,Research & Development,College,Life Sciences,Male,1,Manager,Single,Resignation,Stress,Sí,2016-02-10,3,4
2015-12-31,4280,19,5,53320,1.0,23,1,2,0,4,3,2,Travel_Rarely,Research & Development,College,Life Sciences,Male,1,Manager,Single,,,No,,3,4
2015-12-31,1340,19,5,53320,1.0,23,1,2,0,4,3,2,Travel_Rarely,Research & Development,College,Life Sciences,Male,1,Manager,Single,Resignation,Stress,Sí,2016-04-09,3,4
2015-12-31,2538,42,2,45390,4.0,17,1,5,0,4,3,3,Travel_Rarely,Sales,Master,Medical,Female,2,Research Director,Single,,,No,,3,3
2015-12-31,4008,42,2,45390,4.0,17,1,5,0,4,3,3,Travel_Rarely,Sales,Master,Medical,Female,2,Research Director,Single,,,No,,3,3
2015-12-31,1068,42,2,45390,4.0,17,1,5,0,4,3,3,Travel_Rarely,Sales,Master,Medical,Female,2,Research Director,Single,,,No,,3,3
2015-12-31,3486,34,1,26960,3.0,23,0,3,0,3,4,3,Non-Travel,Sales,Below College,Marketing,Female,2,Research Director,Married,,,No,,3,4
2015-12-31,546,34,1,26960,3.0,23,0,3,0,3,4,3,Non-Travel,Sales,Below College,Marketing,Female,2,Research Director,Married,,,No,,3,4
2015-12-31,2016,34,1,26960,3.0,23,0,3,0,3,4,3,Non-Travel,Sales,Below College,Marketing,Female,2,Research Director,Married,,,No,,3,4
2015-12-31,2041,18,2,109650,1.0,18,0,5,0,3,3,3,Non-Travel,Research & Development,Master,Medical,Male,3,Laboratory Technician,Single,Resignation,Stress,Sí,2016-08-17,4,3
2015-12-31,3511,18,2,109650,1.0,18,0,5,0,3,3,3,Non-Travel,Research & Development,Master,Medical,Male,3,Laboratory Technician,Single,Resignation,Others,Sí,2016-07-17,4,3
2015-12-31,571,18,2,109650,1.0,18,0,5,0,3,3,3,Non-Travel,Research & Development,Master,Medical,Male,3,Laboratory Technician,Single,Resignation,Others,Sí,2016-04-06,4,3
2015-12-31,454,29,3,27230,6.0,11,1,2,0,4,1,3,Travel_Rarely,Human Resources,Doctor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-09-10,2,3
2015-12-31,3394,29,3,27230,6.0,11,1,2,0,4,1,3,Travel_Rarely,Human Resources,Doctor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-02-22,2,3
2015-12-31,1924,29,3,27230,6.0,11,1,2,0,4,1,3,Travel_Rarely,Human Resources,Doctor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Stress,Sí,2016-11-12,2,3
2015-12-31,303,34,20,57440,3.0,19,1,4,0,2,1,3,Travel_Rarely,Research & Development,Bachelor,Medical,Female,3,Laboratory Technician,Divorced,,,No,,2,3
2015-12-31,3243,34,20,57440,3.0,19,1,4,0,2,1,3,Travel_Rarely,Research & Development,Bachelor,Medical,Female,3,Laboratory Technician,Divorced,,,No,,2,3
2015-12-31,1773,34,20,57440,3.0,19,1,4,0,2,1,3,Travel_Rarely,Research & Development,Bachelor,Medical,Female,3,Laboratory Technician,Divorced,,,No,,2,3
2015-12-31,2706,21,2,137570,1.0,12,1,3,0,3,4,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,2,Manufacturing Director,Single,,,No,,3,3
2015-12-31,1236,21,2,137570,1.0,12,1,3,0,3,4,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,2,Manufacturing Director,Single,,,No,,3,3
2015-12-31,4176,21,2,137570,1.0,12,1,3,0,3,4,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,2,Manufacturing Director,Single,,,No,,3,3
2015-12-31,200,18,2,34680,1.0,18,2,4,0,2,2,3,Travel_Frequently,Research & Development,Bachelor,Technical Degree,Male,1,Sales Executive,Single,Resignation,Salary,Sí,2016-01-25,4,3
2015-12-31,3140,18,2,34680,1.0,18,2,4,0,2,2,3,Travel_Frequently,Research & Development,Bachelor,Technical Degree,Male,1,Sales Executive,Single,Resignation,Stress,Sí,2016-03-25,4,3
2015-12-31,1670,18,2,34680,1.0,18,2,4,0,2,2,3,Travel_Frequently,Research & Development,Bachelor,Technical Degree,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-10-20,4,3
2015-12-31,1299,23,10,64390,3.0,22,3,2,0,3,1,3,Travel_Rarely,Research & Development,Bachelor,Medical,Male,2,Laboratory Technician,Divorced,,,No,,3,4
2015-12-31,4239,23,10,64390,3.0,22,3,2,0,3,1,3,Travel_Rarely,Research & Development,Bachelor,Medical,Male,2,Laboratory Technician,Divorced,,,No,,3,4
2015-12-31,2769,23,10,64390,3.0,22,3,2,0,3,1,3,Travel_Rarely,Research & Development,Bachelor,Medical,Male,2,Laboratory Technician,Divorced,,,No,,3,4
2015-12-31,1384,19,10,41870,0.0,22,1,4,0,3,1,4,Travel_Frequently,Research & Development,College,Life Sciences,Male,2,Healthcare Representative,Single,Fired,,No,2016-01-28,3,4
2015-12-31,2854,19,10,41870,0.0,22,1,4,0,3,1,4,Travel_Frequently,Research & Development,College,Life Sciences,Male,2,Healthcare Representative,Single,Resignation,Stress,Sí,2016-10-20,3,4
2015-12-31,4324,19,10,41870,0.0,22,1,4,0,3,1,4,Travel_Frequently,Research & Development,College,Life Sciences,Male,2,Healthcare Representative,Single,,,No,,3,4
2015-12-31,4155,37,2,56470,6.0,19,0,2,0,4,3,3,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,1,Sales Executive,Single,,,No,,3,3
2015-12-31,1215,37,2,56470,6.0,19,0,2,0,4,3,3,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Salary,Sí,2016-01-11,3,3
2015-12-31,2685,37,2,56470,6.0,19,0,2,0,4,3,3,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,1,Sales Executive,Single,Resignation,Others,Sí,2016-06-23,3,3
2015-12-31,3751,28,1,17060,7.0,12,0,3,0,3,1,2,Travel_Frequently,Sales,Bachelor,Marketing,Male,2,Laboratory Technician,Single,Resignation,Others,Sí,2016-03-23,3,3
2015-12-31,811,28,1,17060,7.0,12,0,3,0,3,1,2,Travel_Frequently,Sales,Bachelor,Marketing,Male,2,Laboratory Technician,Single,Fired,,No,2016-04-08,3,3
2015-12-31,2281,28,1,17060,7.0,12,0,3,0,3,1,2,Travel_Frequently,Sales,Bachelor,Marketing,Male,2,Laboratory Technician,Single,Resignation,Stress,Sí,2016-10-07,3,3
2015-12-31,3920,32,26,88230,6.0,13,2,3,0,1,2,3,Travel_Rarely,Research & Development,Bachelor,Medical,Female,2,Research Director,Single,Resignation,Salary,Sí,2016-08-14,3,3
2015-12-31,2450,32,26,88230,6.0,13,2,3,0,1,2,3,Travel_Rarely,Research & Development,Bachelor,Medical,Female,2,Research Director,Single,Fired,,No,2016-04-22,3,3
2015-12-31,980,32,26,88230,6.0,13,2,3,0,1,2,3,Travel_Rarely,Research & Development,Bachelor,Medical,Female,2,Research Director,Single,Resignation,Salary,Sí,2016-02-15,3,3
2015-12-31,2591,42,1,23720,3.0,12,1,3,0,2,4,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Female,1,Sales Executive,Divorced,,,No,,3,3
2015-12-31,1121,42,1,23720,3.0,12,1,3,0,2,4,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Female,1,Sales Executive,Divorced,,,No,,3,3
2015-12-31,4061,42,1,23720,3.0,12,1,3,0,2,4,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Female,1,Sales Executive,Divorced,,,No,,3,3
2015-12-31,3173,38,2,20140,3.0,17,1,5,0,3,1,2,Travel_Rarely,Human Resources,Master,Medical,Male,1,Human Resources,Single,,,No,,4,3
2015-12-31,1703,38,2,20140,3.0,17,1,5,0,3,1,2,Travel_Rarely,Human Resources,Master,Medical,Male,1,Human Resources,Single,,,No,,4,3
2015-12-31,233,38,2,20140,3.0,17,1,5,0,3,1,2,Travel_Rarely,Human Resources,Master,Medical,Male,1,Human Resources,Single,,,No,,4,3
2015-12-31,2073,22,22,26540,0.0,24,0,5,0,3,4,3,Travel_Frequently,Research & Development,Master,Medical,Male,1,Sales Representative,Married,Resignation,Others,Sí,2016-09-08,2,4
2015-12-31,603,22,22,26540,0.0,24,0,5,0,3,4,3,Travel_Frequently,Research & Development,Master,Medical,Male,1,Sales Representative,Married,Resignation,Stress,Sí,2016-03-12,2,4
2015-12-31,3543,22,22,26540,0.0,24,0,5,0,3,4,3,Travel_Frequently,Research & Development,Master,Medical,Male,1,Sales Representative,Married,Fired,,No,2016-08-11,2,4
2015-12-31,2079,40,9,45230,5.0,16,1,5,0,2,2,3,Travel_Frequently,Sales,Bachelor,Medical,Male,1,Manufacturing Director,Married,,,No,,4,3
2015-12-31,609,40,9,45230,5.0,16,1,5,0,2,2,3,Travel_Frequently,Sales,Bachelor,Medical,Male,1,Manufacturing Director,Married,,,No,,4,3
2015-12-31,3549,40,9,45230,5.0,16,1,5,0,2,2,3,Travel_Frequently,Sales,Bachelor,Medical,Male,1,Manufacturing Director,Married,,,No,,4,3
2015-12-31,2014,50,1,159920,3.0,14,0,3,0,4,3,3,Travel_Frequently,Research & Development,Master,Medical,Male,2,Research Scientist,Single,Resignation,Salary,Sí,2016-02-26,3,3
2015-12-31,3484,50,1,159920,3.0,14,0,3,0,4,3,3,Travel_Frequently,Research & Development,Master,Medical,Male,2,Research Scientist,Single,Resignation,Others,Sí,2016-12-05,3,3
2015-12-31,544,50,1,159920,3.0,14,0,3,0,4,3,3,Travel_Frequently,Research & Development,Master,Medical,Male,2,Research Scientist,Single,Resignation,Others,Sí,2016-07-31,3,3
2015-12-31,8,29,18,31430,2.0,22,3,2,0,1,2,3,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,2,Sales Executive,Married,,,No,,3,4
2015-12-31,2948,29,18,31430,2.0,22,3,2,0,1,2,3,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,2,Sales Executive,Married,,,No,,3,4
2015-12-31,1478,29,18,31430,2.0,22,3,2,0,1,2,3,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,2,Sales Executive,Married,,,No,,3,4
2015-12-31,2149,45,19,36810,3.0,17,1,2,0,3,2,3,Travel_Frequently,Research & Development,Bachelor,Medical,Male,3,Laboratory Technician,Single,,,No,,3,3
2015-12-31,3619,45,19,36810,3.0,17,1,2,0,2,2,3,Travel_Frequently,Research & Development,Bachelor,Medical,Male,3,Laboratory Technician,Single,,,No,,3,3
2015-12-31,679,45,19,36810,3.0,17,1,2,0,3,2,3,Travel_Frequently,Research & Development,Bachelor,Medical,Male,3,Laboratory Technician,Single,,,No,,3,3
2015-12-31,1290,45,14,54730,4.0,13,0,3,0,4,1,4,Travel_Rarely,Human Resources,Bachelor,Human Resources,Female,1,Sales Executive,Married,,,No,,1,3
2015-12-31,4230,45,14,54730,4.0,13,0,3,0,4,1,4,Travel_Rarely,Human Resources,Bachelor,Human Resources,Female,1,Sales Executive,Married,,,No,,1,3
2015-12-31,2760,45,14,54730,4.0,13,0,3,0,4,1,4,Travel_Rarely,Human Resources,Bachelor,Human Resources,Female,1,Sales Executive,Married,,,No,,1,3
2015-12-31,1054,18,2,186060,1.0,24,2,4,0,2,3,1,Non-Travel,Research & Development,Bachelor,Life Sciences,Male,3,Sales Representative,Single,,,No,,3,4
2015-12-31,3994,18,2,186060,1.0,24,2,4,0,2,3,1,Non-Travel,Research & Development,Bachelor,Life Sciences,Male,3,Sales Representative,Single,,,No,,3,4
2015-12-31,2524,18,2,186060,1.0,24,2,4,0,2,3,1,Non-Travel,Research & Development,Bachelor,Life Sciences,Male,3,Sales Representative,Single,,,No,,3,4
2015-12-31,2366,18,3,24790,1.0,12,1,2,0,2,4,4,Travel_Frequently,Research & Development,Doctor,Medical,Male,1,Research Director,Single,Resignation,Others,Sí,2016-04-18,2,3
2015-12-31,3836,18,3,24790,1.0,12,1,2,0,2,4,4,Travel_Frequently,Research & Development,Doctor,Medical,Male,1,Research Director,Single,Resignation,Stress,Sí,2016-02-18,2,3
2015-12-31,896,18,3,24790,1.0,12,1,2,0,2,4,4,Travel_Frequently,Research & Development,Doctor,Medical,Male,1,Research Director,Single,Fired,,No,2016-03-13,2,3
2015-12-31,1514,18,7,38120,1.0,15,0,3,0,4,3,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,1,Research Scientist,Single,,,No,,3,3
2015-12-31,2984,18,7,38120,1.0,15,0,3,0,4,3,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,1,Research Scientist,Single,,,No,,3,3
2015-12-31,44,18,7,38120,1.0,15,0,3,0,4,3,3,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,1,Research Scientist,Single,,,No,,3,3
2015-12-31,1565,48,13,98540,3.0,16,1,2,0,1,3,1,Travel_Rarely,Sales,Master,Medical,Male,4,Sales Executive,Married,,,No,,2,3
2015-12-31,3035,48,13,98540,3.0,16,1,2,0,1,3,1,Travel_Rarely,Sales,Master,Medical,Male,4,Sales Executive,Married,,,No,,2,3
2015-12-31,95,48,13,98540,3.0,16,1,2,0,1,3,1,Travel_Rarely,Sales,Master,Medical,Male,4,Sales Executive,Married,,,No,,2,3
2015-12-31,345,30,7,14830,5.0,13,0,3,0,3,4,2,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Male,2,Research Director,Single,,,No,,3,3
2015-12-31,3285,30,7,14830,5.0,13,0,3,0,3,4,2,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Male,2,Research Director,Single,,,No,,3,3
2015-12-31,1815,30,7,14830,5.0,13,0,3,0,3,4,2,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Male,2,Research Director,Single,,,No,,3,3
2015-12-31,90,47,1,68340,3.0,16,1,2,0,2,3,3,Travel_Frequently,Sales,Bachelor,Medical,Female,2,Laboratory Technician,Single,,,No,,4,3
2015-12-31,3030,47,1,68340,3.0,16,1,2,0,2,3,3,Travel_Frequently,Sales,Bachelor,Medical,Female,2,Laboratory Technician,Single,,,No,,4,3
2015-12-31,1560,47,1,68340,3.0,16,1,2,0,2,3,3,Travel_Frequently,Sales,Bachelor,Medical,Female,2,Laboratory Technician,Single,,,No,,4,3
2015-12-31,2075,44,20,45560,2.0,13,0,4,0,4,3,3,Non-Travel,Research & Development,Bachelor,Life Sciences,Male,1,Sales Representative,Single,,,No,,3,3
2015-12-31,605,44,20,45560,2.0,13,0,4,0,4,3,3,Non-Travel,Research & Development,Bachelor,Life Sciences,Male,1,Sales Representative,Single,,,No,,3,3
2015-12-31,3545,44,20,45560,2.0,13,0,4,0,4,3,3,Non-Travel,Research & Development,Bachelor,Life Sciences,Male,1,Sales Representative,Single,,,No,,3,3
2015-12-31,3298,27,1,27130,1.0,11,0,2,0,4,4,2,Non-Travel,Sales,Bachelor,Technical Degree,Female,1,Sales Executive,Married,,,No,,3,3
2015-12-31,358,27,1,27130,1.0,11,0,2,0,4,4,2,Non-Travel,Sales,Bachelor,Technical Degree,Female,1,Sales Executive,Married,,,No,,3,3
2015-12-31,1828,27,1,27130,1.0,11,0,2,0,4,4,2,Non-Travel,Sales,Bachelor,Technical Degree,Female,1,Sales Executive,Married,,,No,,3,3
2015-12-31,3743,24,3,76540,2.0,17,1,3,0,2,1,2,Travel_Frequently,Sales,Bachelor,Life Sciences,Male,2,Research Scientist,Single,Resignation,Others,Sí,2016-01-05,2,3
2015-12-31,803,24,3,76540,2.0,17,1,3,0,2,1,2,Travel_Frequently,Sales,Bachelor,Life Sciences,Male,2,Research Scientist,Single,Fired,,No,2016-01-24,2,3
2015-12-31,2273,24,3,76540,2.0,17,1,3,0,2,1,2,Travel_Frequently,Sales,Bachelor,Life Sciences,Male,2,Research Scientist,Single,Fired,,No,2016-05-24,2,3
2015-12-31,1571,36,28,24320,4.0,22,0,4,1,4,4,3,Non-Travel,Human Resources,Bachelor,Human Resources,Male,2,Laboratory Technician,Single,,,No,,1,4
2015-12-31,3041,36,28,24320,4.0,22,0,4,1,4,4,3,Non-Travel,Human Resources,Bachelor,Human Resources,Male,2,Laboratory Technician,Single,,,No,,1,4
2015-12-31,101,36,28,24320,4.0,22,0,4,1,4,4,3,Non-Travel,Human Resources,Bachelor,Human Resources,Male,2,Laboratory Technician,Single,,,No,,1,4
2015-12-31,1802,29,2,106500,1.0,13,2,2,1,2,1,3,Travel_Rarely,Sales,Master,Marketing,Female,4,Research Scientist,Married,Resignation,Others,Sí,2016-03-26,4,3
2015-12-31,3272,29,2,106500,1.0,13,2,2,1,2,1,3,Travel_Rarely,Sales,Master,Marketing,Female,4,Research Scientist,Married,Resignation,Others,Sí,2016-05-28,4,3
2015-12-31,332,29,2,106500,1.0,13,2,2,1,2,1,3,Travel_Rarely,Sales,Master,Marketing,Female,4,Research Scientist,Married,Resignation,Salary,Sí,2016-08-26,4,3
2015-12-31,3478,37,7,71430,2.0,21,0,6,1,4,4,3,Travel_Rarely,Research & Development,Master,Life Sciences,Male,4,Sales Executive,Divorced,,,No,,2,4
2015-12-31,538,37,7,71430,2.0,21,0,6,1,4,4,3,Travel_Rarely,Research & Development,Master,Life Sciences,Male,4,Sales Executive,Divorced,,,No,,2,4
2015-12-31,2008,37,7,71430,2.0,21,0,6,1,4,4,3,Travel_Rarely,Research & Development,Master,Life Sciences,Male,4,Sales Executive,Divorced,,,No,,2,4
2015-12-31,1005,43,1,76550,9.0,12,1,3,1,3,3,3,Travel_Frequently,Research & Development,Master,Other,Male,3,Sales Executive,Married,Resignation,Salary,Sí,2016-05-17,3,3
2015-12-31,3945,43,1,76550,9.0,12,1,3,1,3,3,3,Travel_Frequently,Research & Development,Master,Other,Male,3,Sales Executive,Married,Resignation,Stress,Sí,2016-07-08,3,3
2015-12-31,2475,43,1,76550,9.0,12,1,3,1,3,3,3,Travel_Frequently,Research & Development,Master,Other,Male,3,Sales Executive,Married,Resignation,Salary,Sí,2016-09-01,3,3
2015-12-31,3954,21,1,27910,1.0,14,0,3,1,2,2,3,Travel_Rarely,Sales,College,Marketing,Male,5,Healthcare Representative,Single,Resignation,Others,Sí,2016-03-26,4,3
2015-12-31,1014,21,1,27910,1.0,14,0,3,1,2,2,3,Travel_Rarely,Sales,College,Marketing,Male,5,Healthcare Representative,Single,Resignation,Salary,Sí,2016-01-15,4,3
2015-12-31,2484,21,1,27910,1.0,14,0,3,1,2,2,3,Travel_Rarely,Sales,College,Marketing,Male,5,Healthcare Representative,Single,Resignation,Others,Sí,2016-01-06,4,3
2015-12-31,2310,24,10,23560,0.0,13,0,5,1,3,1,3,Travel_Rarely,Sales,College,Marketing,Male,1,Manufacturing Director,Divorced,,,No,,3,3
2015-12-31,3780,24,10,23560,0.0,13,0,5,1,3,1,3,Travel_Rarely,Sales,College,Marketing,Male,1,Manufacturing Director,Divorced,,,No,,3,3
2015-12-31,840,24,10,23560,0.0,13,0,5,1,3,1,3,Travel_Rarely,Sales,College,Marketing,Male,1,Manufacturing Director,Divorced,,,No,,3,3
2015-12-31,654,25,1,109320,1.0,11,1,3,1,3,4,3,Travel_Frequently,Research & Development,Below College,Life Sciences,Male,1,Manufacturing Director,Single,Resignation,Stress,Sí,2016-01-19,3,3
2015-12-31,3594,25,1,109320,1.0,11,1,3,1,3,4,3,Travel_Frequently,Research & Development,Below College,Life Sciences,Male,1,Manufacturing Director,Single,Resignation,Stress,Sí,2016-08-27,3,3
2015-12-31,2124,25,1,109320,1.0,11,1,3,1,3,4,3,Travel_Frequently,Research & Development,Below College,Life Sciences,Male,1,Manufacturing Director,Single,Fired,,No,2016-11-27,3,3
2015-12-31,1728,35,2,187400,1.0,19,1,2,1,3,3,3,Non-Travel,Research & Development,Below College,Medical,Male,1,Research Scientist,Married,,,No,,4,3
