Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,cat__EnvironmentSatisfaction_Bajo,cat__JobSatisfaction_Bajo,cat__JobSatisfaction_Muy alto,cat__WorkLifeBalance_Mala,cat__BusinessTravel_Travel_Frequently,cat__Department_Human Resources,cat__EducationField_Human Resources,cat__MaritalStatus_Single,target
40,9,45230,5.0,16,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
40,9,45230,5.0,16,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
40,9,45230,5.0,16,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
50,1,159920,3.0,14,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
50,1,159920,3.0,14,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
50,1,159920,3.0,14,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
29,18,31430,2.0,22,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,18,31430,2.0,22,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,18,31430,2.0,22,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,19,36810,3.0,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
45,19,36810,3.0,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
45,19,36810,3.0,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
45,14,54730,4.0,13,3,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
45,14,54730,4.0,13,3,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
45,14,54730,4.0,13,3,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
18,2,186060,1.0,24,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
18,2,186060,1.0,24,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
18,2,186060,1.0,24,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
18,3,24790,1.0,12,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
18,3,24790,1.0,12,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
18,3,24790,1.0,12,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
18,7,38120,1.0,15,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18,7,38120,1.0,15,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18,7,38120,1.0,15,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
48,13,98540,3.0,16,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
48,13,98540,3.0,16,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
48,13,98540,3.0,16,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
30,7,14830,5.0,13,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30,7,14830,5.0,13,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30,7,14830,5.0,13,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
47,1,68340,3.0,16,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
47,1,68340,3.0,16,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
47,1,68340,3.0,16,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
44,20,45560,2.0,13,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
44,20,45560,2.0,13,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
44,20,45560,2.0,13,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27,1,27130,1.0,11,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
27,1,27130,1.0,11,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
27,1,27130,1.0,11,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
24,3,76540,2.0,17,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
24,3,76540,2.0,17,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
24,3,76540,2.0,17,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
36,28,24320,4.0,22,4,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0
36,28,24320,4.0,22,4,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0
36,28,24320,4.0,22,4,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0
29,2,106500,1.0,13,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,2,106500,1.0,13,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,2,106500,1.0,13,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,7,71430,2.0,21,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
37,7,71430,2.0,21,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
37,7,71430,2.0,21,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
43,1,76550,9.0,12,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
43,1,76550,9.0,12,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
43,1,76550,9.0,12,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
21,1,27910,1.0,14,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
21,1,27910,1.0,14,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
21,1,27910,1.0,14,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
24,10,23560,0.0,13,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,10,23560,0.0,13,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,10,23560,0.0,13,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,1,109320,1.0,11,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
25,1,109320,1.0,11,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
25,1,109320,1.0,11,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
35,2,187400,1.0,19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2,187400,1.0,19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2,187400,1.0,19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,26,194060,3.0,20,2,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
40,26,194060,3.0,20,2,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
40,26,194060,3.0,20,2,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
22,1,49680,1.0,14,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,1,49680,1.0,14,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,1,49680,1.0,14,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,1,132370,5.0,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
48,1,132370,5.0,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
48,1,132370,5.0,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
34,9,27410,0.0,15,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,9,27410,0.0,15,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,9,27410,1.0,15,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
32,9,27410,1.0,15,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
34,9,27410,0.0,15,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,9,27410,1.0,15,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
40,1,50710,8.0,17,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
40,1,50710,8.0,17,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
40,1,50710,8.0,17,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
26,26,68120,1.0,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,26,68120,1.0,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,26,68120,1.0,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,7,56600,7.0,12,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,7,56600,7.0,12,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,7,56600,7.0,12,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,3,11290,9.0,19,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
30,3,11290,9.0,19,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
30,3,11290,9.0,19,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
58,9,21530,9.0,11,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
58,9,21530,9.0,11,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
58,9,21530,9.0,11,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
31,6,45340,1.0,13,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
31,6,45340,1.0,13,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
31,6,45340,1.0,13,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35,2,108830,3.0,12,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,2,108830,3.0,12,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,2,108830,3.0,12,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,7,12320,1.0,12,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,7,12320,1.0,12,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,7,12320,1.0,12,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,3,59680,1.0,13,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,3,59680,1.0,13,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,3,59680,1.0,13,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,2,43810,2.0,15,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39,2,43810,2.0,15,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39,2,43810,2.0,15,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
58,5,21540,4.0,21,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
58,5,21540,4.0,21,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
58,5,21540,4.0,21,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
54,2,89380,7.0,11,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54,2,89380,7.0,11,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54,2,89380,7.0,11,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
55,3,73510,8.0,20,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
55,3,73510,8.0,20,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,3,73510,8.0,20,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,1,27430,1.0,19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
32,1,27430,1.0,19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
32,1,27430,1.0,19,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
44,5,43820,7.0,16,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
44,5,43820,7.0,16,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
44,5,43820,7.0,16,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
37,15,44850,5.0,11,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
37,15,44850,5.0,11,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
37,15,44850,5.0,11,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
35,10,57650,1.0,14,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35,10,57650,1.0,14,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35,10,57650,1.0,14,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
38,8,25140,3.0,11,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
38,8,25140,3.0,11,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
38,8,25140,3.0,11,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
37,24,68150,5.0,20,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
37,24,68150,5.0,20,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
37,24,68150,5.0,20,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
26,8,80950,1.0,15,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26,8,80950,1.0,15,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26,8,80950,1.0,15,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,1,175670,5.0,13,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
36,1,175670,5.0,13,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
36,1,175670,5.0,13,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
60,17,40250,3.0,13,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
60,17,40250,3.0,13,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
60,17,40250,3.0,13,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
29,23,45370,6.0,18,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,23,45370,6.0,18,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,23,45370,6.0,18,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,28,55610,1.0,21,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
33,28,55610,1.0,21,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
33,28,55610,1.0,21,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
31,22,56890,3.0,15,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
31,22,56890,3.0,15,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
31,22,56890,3.0,15,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
28,7,29760,1.0,14,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
28,7,29760,1.0,14,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
28,7,29760,1.0,14,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
21,1,104000,1.0,13,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
21,1,104000,1.0,13,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
21,1,104000,1.0,13,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
40,1,192320,2.0,14,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,1,192320,2.0,14,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,1,192320,2.0,14,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,1,24130,1.0,16,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
28,1,24130,1.0,16,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
28,1,24130,1.0,16,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
32,11,44870,1.0,11,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,11,44870,1.0,11,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,11,44870,1.0,11,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,12,88650,1.0,11,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,12,88650,1.0,11,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,12,88650,1.0,11,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,2,40010,6.0,11,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
37,2,40010,6.0,11,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
